2019-03-23 15:33:34,853 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.mkyong:SpringBatchExample:1.0-SNAPSHOT @ /home/carlos/workspace/PruebaGSS/PruebaGSS/pom.xml.
2019-03-23 15:33:36,225 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PruebaGSS/src/main/java
2019-03-23 15:33:36,226 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /PruebaGSS/src/main/resources
2019-03-23 15:33:36,228 [Worker-6] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PruebaGSS/src/test/java
2019-03-23 15:33:36,477 [Worker-6] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 4 sec
2019-03-23 15:33:38,766 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:33:38,831 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 15:33:38,868 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:33:38,885 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 15:34:50,301 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:34:50,307 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 15:34:50,310 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:34:50,311 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 15:35:04,126 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:35:04,128 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2019-03-23 15:35:04,131 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:35:04,132 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 15:35:08,895 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:35:08,896 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2019-03-23 15:35:08,898 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:35:08,899 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/carlos/workspace/PruebaGSS/PruebaGSS/src/test/resources
2019-03-23 15:37:58,748 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-03-23 15:37:58,750 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2019-03-23 15:37:58,752 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
